Uuid,Void/Retire,Name,Strength,Concept drug,Concept dosage form
18951d18-a89d-11df-bba5-000c297f1161,,Chloramphenicol 125mg/5ml susp (100ml bottle),5ml,65472cfa-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
18951e26-a89d-11df-bba5-000c297f1161,,Chloramphenicol 10% ear drops (10ml bottle),1drop(s),65472cfa-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
18951f2a-a89d-11df-bba5-000c297f1161,,Chloramphenicol (125mg tablet),125mg,65472cfa-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18952024-a89d-11df-bba5-000c297f1161,,Chloramphenicol (250mg capsule),250mg,65472cfa-977f-11e1-8993-905e29aff6c1,6569265c-977f-11e1-8993-905e29aff6c1
1895211e-a89d-11df-bba5-000c297f1161,,Chloramphenicol eye ointment (5mg tube),1application,65472cfa-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
18952218-a89d-11df-bba5-000c297f1161,,Chloramphenicol Sodium (1g ampulle),1g,65472cfa-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
18952312-a89d-11df-bba5-000c297f1161,,Chlorphenamine (10 mg ampulle),10mg,654affa6-977f-11e1-8993-905e29aff6c1,656923d2-977f-11e1-8993-905e29aff6c1
1895240c-a89d-11df-bba5-000c297f1161,,Chlorphenamine (100mg tablet),100mg,654affa6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18952506-a89d-11df-bba5-000c297f1161,,Chlorphenamine (25mg tablet),25mg,654affa6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18952600-a89d-11df-bba5-000c297f1161,,Chlorphenamine (4mg tablet),4mg,654affa6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189526fa-a89d-11df-bba5-000c297f1161,,Chlorphenamine (50mg tablet),50mg,654affa6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189527f4-a89d-11df-bba5-000c297f1161,,Chlorpromazine (100mg tablet),100mg,654b00aa-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189528ee-a89d-11df-bba5-000c297f1161,,Chlorpromazine (25mg tablet),25mg,654b00aa-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
189529e8-a89d-11df-bba5-000c297f1161,,Chlorpromazine (50mg tablet),50mg,654b00aa-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18952ae2-a89d-11df-bba5-000c297f1161,,Cimetidine (200mg tablet),200mg,655e5eb6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18952bd2-a89d-11df-bba5-000c297f1161,,Cimetidine (400mg tablet),400mg,655e5eb6-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
18952ccc-a89d-11df-bba5-000c297f1161,,Ciprofloxacin ear/eye drops (5ml bottle),1drop(s),6549eb66-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
18952dd0-a89d-11df-bba5-000c297f1161,,Clotrimazole Cream 1% (20g tube),1application,654b3228-977f-11e1-8993-905e29aff6c1,65692760-977f-11e1-8993-905e29aff6c1
18952eca-a89d-11df-bba5-000c297f1161,,Cloxacillin (125mg suspension),125mg,654b094c-977f-11e1-8993-905e29aff6c1,656922d8-977f-11e1-8993-905e29aff6c1
18952fc4-a89d-11df-bba5-000c297f1161,,Cloxacillin (250mg tablet),250mg,654b094c-977f-11e1-8993-905e29aff6c1,656921d4-977f-11e1-8993-905e29aff6c1
